tuit,G,L,B,T,O
Harto de los Gays De mi y de todo 😒,1,0,0,0,0
"De quién es al fundillo?
Ya sal del closet puñal frustrado, no pasa nada y al contrario igual por fin puedes ser feliz en tu lamentable vida.
Te lo escribió un heterosexual 100%.
Lamentable tus comentarios homofóbicos. url",1,0,0,0,0
Pinche viejo joto tienes como 50 años yendo a tocadas sabes que te van a empujar aguántese.,1,0,0,0,0
@odiomistweets ya ven joto,1,0,0,0,0
Yo url Puto el primero que se contagie del coronavirus! 🤣🤦‍♂️🤒,1,0,0,0,0
"@pedroferriz3 Y todo para que??  Para que termines mordiendo almohadas.

Mayate!",1,0,0,0,0
@DanielaLepe_P Mariquita,1,0,0,0,0
"@TenochHuerta @versionextend Y lo merecen, o solo es darle un premio a alguien por ser ""gay, Moreno o Negro, madre soltera o con alguna discapacidad""? 🤔",1,0,0,0,1
@albertochavezv #MarchaHeterosexual putas para todos y trato especial para los que todavía están indesisos y se queden en el camino machin,0,0,0,0,1
"Vas a ir ?
Si vas a ir? 
Pero a url a tu mamy por maricon!",1,0,0,0,0
"Existen varios tipos de homosexuales:
- Los que gustan de su mismo sexo
- Los que fuman mentolado
- Los que no le dan retwittear 
Jajaja😉😉",1,0,0,0,0
Pinche maricon pendejo!!!!! Neta ojalá que se url🤬🤬🤬🤬 url,1,0,0,0,0
@ugesaurus ¡CLARO! SE HACEN MUJERES TRANS PARA GANAR EN LAS OLIMPIADAS.,0,0,0,1,0
Qp con esa loca lesbiana🌚😳,0,1,0,0,0
@serchiracheta que maricon,1,0,0,0,0
"Los hubieras abrazado, joto url",1,0,0,0,0
@villanuevac Esa es lencha jajajaja,0,1,0,0,0
@Valerebe20 Ojalá ese puñal ya no pueda ir a USA,1,0,0,0,0
"@FlamInkgoes ufas amigos, si no fuera algo muy gay te declaramos nuestro príncipe.",1,0,0,0,0
Respondiendo a la pregunta: solo deja de sacarte la ceja y de hacer duckface pinche marica de mierda. url,1,0,0,0,0
"Si tu marido no te defiende de NADIE, Felicidades no tienes marido tienes un marica.  #SeTeniaQueDecirYseDijo",1,0,0,0,0
@PatsTapia ?utooooooo!!!! Matarile al maricon!!!,1,0,0,0,0
Donde estarán esos tres chivas maricones que creyeron que por una imagen de pulido me iba a emputar?,1,0,0,0,0
@mely_dgr fue un sábado ps creo q si tenía pelo wero jajaja le habla al jotito q vive por tu casa ya sabes quien ?,1,0,0,0,0
"neee alchile váyanse a la verga pinches jotos, bye",1,0,0,0,0
@LegalmentePerra @Dashoboy OSEA ESO QUE SON DOS MARICONES MEJOR HM,1,0,0,0,0
"Como chingan con el grito de puto, si te sientes ofendido es porque esta bien pendejo no porque odiemos a los homosexuales",1,0,0,0,1
@Orfeumm No sea joto,1,0,0,0,0
@CarlosLoret @EPN @realDonaldTrump @lopezobrador_ De todos modos nadie te cree !!! Solo sabemos que eres un periodista amarillista y homosexual !!!!!,1,0,0,0,0
"@LuisDV15 jajajaja también por maricón, jajaja alv es cierto ¿no te dolió? Es una mezcla de lo mejor del Barca y el Madrid sin Messi y CR :(",1,0,0,0,0
Que trapeada le dieron a la mojarra lesbiana 😂 url,0,1,0,0,0
"Chingos de chicas guapas en GDL. Pero ridículo como hay tantas que son url No mamen, así no se puede. Es el 2015, ya.. Salgan.",0,0,0,1,0
No llore jota,1,0,0,0,0
@Anibal_Alvarado Para mi que son los maricas amarillos que se hacen pasar por Rayados para Crear un mal ambiente en torno de mis Rayados.,1,0,0,0,0
Si algo me castra el wuevo son los maricas con complejo de Paris Hilton (osea el 90% de los homosexuales).,1,0,0,0,0
"@torosytoritos54 @GuillermoLuja16 @labarquerag70 @05Cesgar @molotovmx @AlfredoJalifeR_ @orazioaguirre @EPalmaM1 @julioperezBPC @Navegaciones @aguirrevictorh @vindicta69 @angelica9091 @JoseAMeadeK @LVidegaray @EPN Es gay, yo respeto pero que no ande de ofrecido.",1,0,0,0,0
"A moco tendido con la peli de ""Votos de amor"" 😭
Así o más marica? 🙄",1,0,0,0,0
@alexsuarez_23 Da tu tanda maricon,1,0,0,0,0
"Soy el más #marica cuando veo una #cucaracha !!!! 😖

#asca
#diug",1,0,0,0,0
"- ¿Porque no puedo hablar del aborto?
Post moderno - “No eres individuo de la especie humana con útero”
- Los transexuales tampoco tienen útero.
Post moderno - “chtm, discurso de odio, cavernícola, retrógrada, y tú pinche Dios que!!” 

Así razonan. 😎",0,0,0,1,0
"@Cabron_Bisexual Vamos a jugar un poco quien se anota, feliz sábado a todos quien llenará este vacío en mi url url",0,0,0,0,1
Donde estan los maricas?,1,0,0,0,0
Qué asco el drag mexicano,0,0,0,1,1
@ElssieIp Hasta que saliste de tu escondite mariquita,1,0,0,0,0
@ClonMil Quédate con tu Vieja 😜😜😜 pinche viejo joto😃😃 url,1,0,0,0,0
jotos de gdl con aires de diva no plz,1,0,0,0,0
"""el hijo del Santo, contra el pinche gringo puñal"" asì gritan aquí",1,0,0,0,0
@AmairaniOrtega No los bebés son una bendición y tienen derecho a vivir cierra tus piernas lesbiana solo profanas el odio a dios te vas a ir al infierno satanas es tu pastor que culpa tiene ese angelito de tu calentura te hubiera gustado que te abortaran? Maldita estupida sologenerasodio muerete,0,1,0,0,0
"Yo solo vine a gritarle ""Puto"" al portero del León, como la damita que url 😌🤘🏼",1,0,0,0,0
"@Mariana_car05 Soy llorar joto, nomás los débiles lloran!",1,0,0,0,0
@ContrapesoC @RicardoAlemanMx Un ojo de puta marikita.,1,0,0,0,0
@neymarjr tiene que jugar en liga de Maricas!,1,0,0,0,0
"Si los transexuales no tuvieran su rostro tan tosco, serían mujeres perfectas, #SuperCuerpos",0,0,0,1,0
"🇪🇸Soy homosexual
🇺🇸 I’m gay
🇮🇹 Sono omosessuale
🇫🇷 Je suis gay
🇩🇪 Ich bin homosexuell
🇸🇦 أنا مثلي
🇲🇽 Vamos, vamos América, que está noche tenemos que url",1,0,0,0,0
"Lo que siento por esta bola de inútiles homosexuales no se compara con nada, uno de los viajes que mas he disfrutado en la vida. Los amo perros!!! en Coralina Daylight Club url",1,0,0,0,0
Un joto que no sepa jugar mario kart es como un hetero que no sabe jugar fifa. Shame on you.,1,0,0,0,0
"@estarc62 @SCJN queeee!No puede ser! no me sorprende, después de los homosexuales, siguen cosas peores.Al rato va ser legal los pederastas😱",1,0,0,0,0
Amiguitos tenga los huevos para decirles no y ponerle alto a su amiguitas nalgas prontas.Para que después no andén de maricones llorando!,1,0,0,0,0
Y hablando de lesbianas.. ya vieron la última foto de Justin Bieber? XD,1,1,0,0,0
@rollercoaster64 @DonVocero @silvanoaureoles @lopezobrador_ Pide pruebas y se las llevan y se zurra. Así de maricon es.,1,0,0,0,0
"@Sirena_Rock la cita no es ni marica ni de adolorido es una ""Obra Maestra"" :) jajajaja y ya sh.",1,0,0,0,0
#MARICA en otras palabras url,1,0,0,0,0
"JAJAJAJA QUE MARICÓN 

EStE WEY SE LA VIVE TIRÁNDOLE A MIS TIGRES Y LE VA AL QUERÉTARO 😂😂😂😂😂😂 url",1,0,0,0,0
"Quiero escribir una SciFi donde un grupo de marketeros de los 80 descubre cómo hacer promoción subliminal SÚPER buena.

Pero a la par -y sin el internet- no hacen buen targeting, así que un chingo de niños los “programan” niñas, y viceversa.

Años después PUOM, gente trans.",0,0,0,1,0
El transexual @belindapop me bloqueo en Instagram 😵 url,0,0,0,1,0
@wulfrano Pute compañurl,0,0,0,0,1
Federer mierda tanto esfuerzo para jugar como marica el Tie Break!! :(,1,0,0,0,0
@colorsito_ @PinkKokkoa Callate joto que ahí sigues,1,0,0,0,0
"Ya mejor me duermo, no vaya a ser que se me incentive el instinto suicida/darks/marica.",1,0,0,0,0
@miguela62853385 dile a ese amigo y tu  k se vayan ala verga de mi parte! tengan huevos de decírmelo en mi cara putos de mierda!!,1,0,0,0,0
Neta me tuve que hacer un spoiler pa que todo resultara súper gay 🙄,1,0,0,0,0
@bta_Demian Un maricón bárbaro.,1,0,0,0,0
"@Blanca02394201 Jajajajajaja perdiste por default, gané marica😎",1,0,0,0,0
@NachoRgz @ChumelTorres @LuisitoComunica Son puñales y se pintan las uñas. Para no decir que les tienen miedo a los verdaderos informadores.,1,0,0,0,0
@joalej77 @SancadillaNorte jajaja tenian que ser jotos y amargo y tienes una foto de Rayados jajaja,1,0,0,0,0
"Siempre me da ganas de darle un chirulazo a esta mujer que parece travesti que siempre dice ""me brinca"" #LoQueLeHaceFaltaEsUnBuenBrinco",0,0,0,1,0
@OlegAraveug Así de homosexual despiertas??? Hahaha,1,0,0,0,0
@lopezdoriga Ahora ya eres tigre maricon. Pinche vendido si quieres vente te pago el boleto para que veas coronarse a las Chivas,1,0,0,0,0
@juanbcrra tu eres por gay,1,0,0,0,0
"@CNNMex Bravo ¡ ¡ ¡, y que los homosexuales ya no se involucren en el look de las modelos.",1,0,0,0,0
"Me cambiaste por una gorda, mísera, machorra y culera. 🖕🏻😎 url",0,1,0,0,0
"Todd Phillips, director de la Película del  Joker, ya aclaro que este no estará basado en los cómics de DC sino de su propia adaptación e interpretación

Avisados están para que no anden de pinches maricas llorando en sus redes sociales.. Possers url",1,0,0,0,0
@marca Así son de maricas los del @realmadrid  😂😂😂,1,0,0,0,0
@_nxlsxn @caracoldiaz Es Tatiana el joto. Parece que no la conoces encuerada.,1,0,0,0,0
@VILLALVAZO13 @reforma_222 Ahhhhh pero sus homosexuales pregonando su “Love” por todo el mundo. Son iguales de locos que todos. O hasta peores.,1,0,0,0,0
"Ya parecen transformers esas madres, y ciertamente soy pobre url",0,0,0,1,0
Puro joto tóxico y peleonero cumple años en mayo. 💀,1,0,0,0,0
Puto el que lo lea.,1,0,0,0,0
Ya están grandes jotos para que se mamen con eso de Disney+. 🙄,1,0,0,0,0
Y señor marica @aesquinca @marthadebayle,1,0,0,0,0
@mariobautista_ el nuevo Juan Gabriel por joto url,1,0,0,0,0
"@papaya_rockera eres un puñal, Papayita.",1,0,0,0,0
@santigg108 eres un maricon,1,0,0,0,0
@evilblackmx @ACIDminds ¡si! Pinches redes sociales jotas que usan corazones de repente (hace años). url,1,0,0,0,0
@TV_JOTAS Es que no se podía parar a reclamarle jaja url,1,0,0,0,1
@El_Produ @loculobo @Chivas yo no apuesto con jotos no pagan,1,0,0,0,0
@JoseHin27 no andes de llorón joto,1,0,0,0,0
@NFLenmiADN Los maricones de los 49s,1,0,0,0,0
"Me llamó “muñequito”... pinche joto, ya ni mis tías.",1,0,0,0,0
"Mis ""juegos del hambre""  fue MATRIX!! ,  putos milenials jotos 😉",1,0,0,0,0
@hersanmx @GAINFANTE @nolocuentestv así es de Maricon!! No tiene palabra!! Jajaja #Patetico,1,0,0,0,0
@EVIDEGARAY @SofiaRiveraT Que linda tu abuelita gay @EVIDEGARAY  eres puñal url,1,0,0,0,0
Si son bien jotos!!!!,1,0,0,0,0
"Si no traes un peinado de Gokú, entonces no eres lesbiana",0,1,0,0,0
"Esos weyes que tienen cejas de travesti sabe que me dan, como la jota de la tele",0,0,0,1,0
MARIQUITA SIN CALZONES ! url,1,0,0,0,0
🥰 Monterrey (y sus mariquitas) url,1,0,0,0,0
Sigues siendo el mismo marica de siempre,1,0,0,0,0
"El Waze es para mariquitas, un verdadero macho alfa lomo plateado barba cerrada nalga torneada, se mete por donde su instinto animal le dice",1,0,0,0,0
@AndrewsGamez jajaja no seas joto,1,0,0,0,0
Manny Pacquiao: “ #Homosexuales son peores que los animales” url,1,0,0,0,0
"Me acabo de acordar que Juanpa me dijo que su mamá pensó que yo era lesbiana.
YA VEN QUE SI ME URGE NOVIO",0,1,0,0,0
"@eggman1979 Te iba a decir algo de tú mamá pero mejor te digo que Jiménez es puñal, Cuahumello es analfabeto, Lainez es un inflado que no sirve para nada y Ochoa es una mamada de portero, creo que te ofende más (y sigue sin ser el 1% 😂😂)",1,0,0,0,0
Yo no tengo nada en contra de los homosexuales. De hecho tengo varios amigos americanistas pero allá ellos y sus punterías.,1,0,0,0,0
@FDCRadio No pues esta medio canijo darles consulta a las #MANFLORAS...GAYSurl#TRANSGENEROSurl hasta posiblemente #VIOLINESurl Cañurl,1,0,0,1,1
Entiendan féminas BONITOS los putos !!!,1,0,0,0,0
"Putas maricas no los pueden tocar porque ya les quebraron el puto pie, puro pinché drama",1,0,0,0,0
@RubenCharvel El maricón es el tal chineo!,1,0,0,0,0
"Primero agarro e idiotizó a los jotos, ahora va con las feministas. Esta hija de puta será una delincuente pero saber llegar al mercado. url",1,0,0,0,0
"@sana_tu_vida El respeto se gana, y mi respeto comienza y termina donde empieza el suyo, pero además yo no le he faltado el respeto a ud. ni a ningún joto en particular pues yo generalice llamando así a todos los que son de culo alegre; perdón por mi sinceridad. Que pase usted una linda tarde.",1,0,0,0,0
@callodehacha @berthisbonita Se me hace que eres puñal,1,0,0,0,0
"Si fuera mujer, definitivamente sería url La mujeres son la perfección",0,0,0,0,1
"Puto el que me de unfollow, ahora que deje tw.
FAV.",1,0,0,0,0
JAJAJAJAJA k marica que me bloqueas por wa @esteban_gv97 no aguantas nada😂😂😂😂😂,1,0,0,0,0
Parezco puto Omi de duelo Xiaolin url,1,0,0,0,1
@fcomovaz biejo joto,1,0,0,0,0
Los policías y los jotos.,1,0,0,0,0
Maricon! Jajajaja url,1,0,0,0,0
@el_viejopaulino  @DiegoMortera @Jvillarrealn  jajajajajajajaja salió llorando el joto cabron jajjj,1,0,0,0,0
@GilGarza11 te vez bien joto como siempre jajajaja!,1,0,0,0,0
"ES : Kirk Cameron: “Dios odia a los gays, van a ir al infierno”  - Yo no escogí ser heterosexual pero todos esos… url",1,0,0,0,0
"#LoMásLeídodeLaI » Envían a ""Las Machorras"" al Cereso url",0,1,0,0,0
"Desde cuando puto se hizo sinónimo de gay, joto, puñetas, marica, bombillo, manocaida? No sean hipócritas @FIFAcom puto es puto y ya.",1,0,0,0,0
@gallon100 @peponrsk @paliplax @DAVIDRINCONGZ Que chingue su madre el puñal chivista del pali,1,0,0,0,0
"—Papá ¿A qué hijo quieres más?

—Son mis hijos, a los dos los quiero por igual.

—Pero somos tres.

—Sí, pero el maricón no cuenta.",1,0,0,0,0
"Mañana podrán salir todos! ya que no habrá delincuentes! todos estaran crudos o borrachos, porque gano su equipo de maricas",1,0,0,0,0
"@jimenice Capitan America es un marica, que cambio a Tony por su amigo asesino",1,0,0,0,0
"Si se va a vestir de puta como todos los años en halloween por lo menos en este año si PÓNGANSE DESODORANTE, luego anda bien HEDIONDA CON su suspensorio y arnés imitación piel todo sudado, lleno de meco de desconocido. RESPETO",1,0,0,0,1
"Me reeemputa que dejen jugar mujeres trans en torneos femeniles, como vergas bloqueas a un@ cabron@ de 1.80 que pesa el doble que tú y tiene el triple de fuerza",0,0,0,1,0
Puto url,1,0,0,0,0
"@caballonegro Por mi está OK que lo señalen. Es solo el hombres, mujeres Y TRANS que me da aaaaaaaaaa",0,0,0,1,0
Como cuando te maquillas un chingo para dejar de verte como una mujer fea y entonces te ves como un travesti feo. url,0,0,0,1,0
@mrAndresPuentes por que salio libre el puto ??,1,0,0,0,0
"@Anahi ERES UN ASCO DE PERSONA. Ya que eres la muñequita del homosexual pendejo ese, mínimo haz algo por el estado que te alimenta. ¡ZORRA!",1,0,0,0,0
"Muy buenos y triunfadores de clásicos y excelente inicio de semana tengan todos ustedes, menos a los que se quejan a DDHH, a esos no por maricas y LyLurl",1,0,0,0,0
@ElMexParienton Ya ves puros chistes de jotos q onda,1,0,0,0,0
@MarthaaZapata obesa y machorrita,0,1,0,0,0
Che marica url,1,0,0,0,0
@July46918263 Eh no mames tampoco soy joto,1,0,0,0,0
@Vrds05 @jorgenavarro94 @sergiomj18 Trío de jotos,1,0,0,0,0
"Estos maricas le echan mix de michelada a sus cervezas. Bueno, comprando pura cerveza culera, ha de ser normal.",1,0,0,0,0
"@soymaestramiel Me escriben vieja gacha indios pata rajadas y lesbiana vieja loca, comes pollito muerta de hambre en Youtube",0,1,0,0,0
"Cabron de nombre Raro diciendo ser mi camarada y haciendo pendejadas al Actual Galan de una Ex Mutua
Puto, RÍFATE SOLO PUÑAL
NI TE CONOZCO 😡",1,0,0,0,0
@abrahamendieta Otra jota liosa de derecha,1,0,0,0,0
"@LeonKrauze @chemamtzmtz Conclusión: los Krause tienen miedo de perder el chayote en el próximo sexenio, y como se que no me va a contestar por qué no soy digno de Preciado tiempo , sin llorar mariquita",1,0,0,0,0
El trompudo infeliz Tromp. a todos los Mexicanos nos tiene😠 enfadado pues que le debemos a este pendejo racista ocicon y pendejo idiota joto,1,0,0,0,0
@Ayrton_Victorio A huevo mi puto!!! 😂😂😂,1,0,0,0,0
@GloriaTrevi @EmilyCMtrevi perros ladren gloria  es gloria puntitos jotos,1,0,0,0,0
@DavidPechSosa porque siempre me insultas :( .. MARICON! .I. No veniste a casa de h u.u,1,0,0,0,0
Weey pero esque pinche gays y lesbianas dan un mal ejemplo 🙄 url,1,1,0,0,0
"100% de los hombres: ""eh we. Eres bien marihuano verdad cabron, te vez bien pinche lil pump""
75% de las mujeres: ""hay te vez super lindo, y niño bueno""
15% de las mujeres: ""vi güerito de ojo de color y dije 'ha de ser bien pinche puto' ""

Siempre, SIEMPRE",1,0,0,0,0
Acabé una temporada de RuPaul's Drag Race en 2 días. No regrets.,0,0,0,0,1
"Ese Pinche Joto Igual Se Ve Horrendo Con Los Filtros de vato o Vurl Mejor Que Siga De Puta Posteando Fotos En Calzones Viajando Por El Mundo, Puta Jeta Quasimodo",1,0,0,0,0
"Esos que le cargan la bolsa a sus mujeres, también mean sentados?

Pinches jotos",1,0,0,0,0
"@lalo_looney Ps harto chisme con la lechugona esa, que ya sacó el cobre y q pura mamada eso d q era chida",0,1,0,0,0
"Estaba viendo el vídeo de como se encontraron Edson y Sánchez y en los comentarios un aficionado comento que falta uno nuestro mismísimo Haret, no falto el wilo maricon que dice que es un tronco y malísimo 😂🤣
#DiablosTwitteros url",1,0,0,0,0
"No sean maricas, cuando ustedes redactan spoilers o los comparten si les da mucha risa. Ahora todos quieren llorar por spoilers de Star Wars",1,0,0,0,0
Ahora ya sé porque odio tanto a mi url Le va a América el mariquita este. 🙄,1,0,0,0,0
@_RomiRodriguez jajaja marica? De verdad crees que soy marica? Jajaja,1,0,0,0,0
@bizbiriije @10APG @TigresOficial @gracieve @bizbiriije @10APG @TigresOficial  otro jotito rayado enamorado que quiere que le contesten jaja,1,0,0,0,0
Como me ultra cagan las comadres (chavo gay y amiga gorda) que vienen al gym a hacerse PENDEJAS!!!!!! nadamas ocupan aparatos y pesas a lo estúpido porque nisiquiera hacen bien el ejercicio y se la pasan hable y hable. Y se ponen solitos sus ejercicios hdsptm,1,0,0,0,0
@mauritrevino_ pinche joto,1,0,0,0,0
@lalogc4 esa foto de portada que ?? Jajajajajj che transformer feo eww,0,0,0,1,0
"Pinche notó maricon, vente hacer lío a otro lado 😂",1,0,0,0,0
@ClubAmerica Excelente vamos contodo mañana a ganar el #ClasicoNacional y a callarles el hocico de perras con cuernos a los maricones de chivas,1,0,0,0,0
Habrá homosexuales que no se sientan @rihanna y que piensen algún día en ser serios horita pronto?! Seguimos en la busqueda,1,0,0,0,0
"@benemeritosGC fanaticos y mariquitas es lo que son todos ustedes y además son capaces, seguro, de organizar un golpe. Vigilar a estos enfermizos:@policia @guardiacivil @zoidoJI",1,0,0,0,0
"@BeatrizGMuller Como siempre asnos maricas en primera fila, hasta parece que su frustración viene de familia. Y como siempre la señora en buen talante dando lo que a otros les molesta un consejo.",1,0,0,0,0
@OficialFrenaaa en vez de sumar dividen al país de un pendejo como su líder esquizofrénico y puto por k anda con sus pinches guaruras pero el día que te vea te parto tu madre cabrón y búscame tu solito puto,1,0,0,0,0
"El mismo concepto, si un travesti puede cambiar de género, entonces él tiene el derecho de cambiar de edad url",0,0,0,1,0
"- Oye ¿ya les dijiste a tus padres que eres homosexual?  -No, pero ya me inscribí en la facultad de comunicación.",1,1,0,0,0
@Diegoteodia pinche joto jajajajajaja,1,0,0,0,0
"@ayElJuann Jajajajaja puto descarado, borracho y maña influencia 😂 (de nuevo porque lo escribí mal ggggg)",1,0,0,0,1
"@DrPetacas parece una drag queen; chula, pero drag al fin. Pobres de mis paisanos 😒",0,0,0,1,1
@Jackskinripper @CCancunenses No eres más joto por que no eres más alto. Tremendo puto¡,1,0,0,0,0
"""Ni de mamada aceptaría el hígado del pendejo de mi hijo el potrillo""

Vicente no podemos decir eso.

Ok entonces ""Rechacé el transplante porque qué tal qué es de un homosexual o un drogadicto""",1,0,0,0,0
🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣 vaya puñurl🤣🤣🤣🤣🤣🤣🤣🤣🤣 url,1,0,0,0,1
Ustedes no quieren a nadie. No se hagan jotos. Porque cuando les llega alguien. Ahí están cargándola!!!,1,0,0,0,0
@DDDoubleTrouble ¿Cuando van a subir vídeo? par de maricones 😇,1,0,0,0,0
"@edith_gdI jajaja no sufras. No pasa nada, el punto es una prenda. Hay chicas que les encanta travestirse de hombres (se llaman lesbianas)",0,1,0,1,0
@rturrent @HellDevice @SergioSarmiento Que inmoral es este joto,1,0,0,0,0
"Son unos abusivos, pero con los delincuentes se portan como mariquitas. url",1,0,0,0,0
"Me caga sentir tanto por alguien,me caga el solo echo de sentir,me siento tan marica.",1,0,0,0,0
Adivinen quien maricas me dejaron sola viendo Anabell por qué les dio miedo 😶  si mis hermanos 🤭🥺,1,0,0,0,0
Buenos dias Js Closeteras y Obvias ya es Diciembre deseo de corazón que se vayan a la berga este dia y mes 🖕🏻,1,0,0,0,0
Se verá muy joto el baking? 😂,1,0,0,0,0
@JavierAquino7 chinga tu madre puto,1,0,0,0,0
"AMIGAS SOLTERONAS: Mejor den gracias a mi tocayín San Antonio porque no les ha dado un novio falso, panzón, borracho, closetero y pinche feo",1,0,0,0,0
"@ChicovelAlcocer @SergioSarmiento Preguntarle mejor al maricón de Miguel Ángel Mancera, el la término.",1,0,0,0,0
Veracru tierra de mayates y de hermosas mujeres url,1,0,0,0,0
"Wey, quien en su sano juicio dedica como ""canción de amor"" I'll never love de Gaga. Js, es una canción de despedida no una canción romántica para dedicar a tu pareja actual.
Ni para eso sirven maricones. url",1,0,0,0,0
"HUELE A JOTO (@ Playa de los Muertos in Puerto Vallarta, Jalisco) url",1,0,0,0,0
@entron82 ¿Putito te refieres a mi?,1,0,0,0,0
@Lexpedraza si pero en puñal,1,0,0,0,0
"- Algo peor que un Americanista Maricón???😉
- Un Tigre que se cree grande!!!

Jajajajaja",1,0,0,0,0
"ESTA MACHORRA  NO SABE QUE EL ÚNICO PAYASO ES BROZO...

Y ELLOS, SON SU BROZA...!!

... url",0,1,0,0,0
"Que video tan más sincero del puto ese de @ESCORPIONGOLDEN  url más gente como tú, en el 2016 por favor!!!",1,0,0,0,1
@rgilzuarth @CarlosJoaquin Ahora si verdad mariquitas y la seguridad de los ciudadanos cuando la vas a reforzar,1,0,0,0,0
Como me caga CR7. Es un jugador único. Pero toda su excelencia se opaca por toda la estupidez que hace. Es un maricón.,1,0,0,0,0
"@jwanpi @SanCadilla @BocaJrsOficial Me hace falta beber contigo. Hoy coincido mucho, la neta sí es de maricas.",1,0,0,0,0
@Enrique_Loopez Nmms aguante 2 Maricon!!! 😂,1,0,0,0,0
"@luisa_2105  jajaja, es que las lesbianas me dan miedo :(",0,1,0,0,0
@bluue18 @emigamuza Alguien no quiere pagar algo!? QUE PINCHE MARICA.,1,0,0,0,0
@cafrealvolante Puñal,1,0,0,0,0
Estaban unos vatos gays enfrente de mi y de besaron bien cabron que hasta me sentí violado,1,0,0,0,0
"Ya cortate el pelo, gay! @ Mexicali, Baja California url",1,0,0,0,0
"@ABCNoticiasMX Tengo amigos Gays y hasta ellos mismos reprueban andar besándose enfrente de la gente ,dicen que si piden respeto deben de dar respeto ,y no los veo quejandose por eso,",1,0,0,0,0
Me da mucha risa cuando las lenchas se creen un chingo cuando en realidad nadie las pela #ridículas,0,1,0,0,0
@Regia_Alexandra @Bere543210 Maricas Neoleoneses.. así como su Goberladron.. de a Apandejados.. url,1,0,0,0,0
¿Y si los tierraplanistas viven en un espacio polidimensional donde la tierra SI es plana? ¿Y si son personas no-euclidianas? ¿Y SI LA CIRCUMFERENCIA ES IDENTITARIA Y ELLOS SON TRANS-PLANOS? url,0,0,0,0,1
"Hombres:
Voy a mirarla a los ojos para que crea que le pongo atención.

Mujeres:
¿Será que es marica? ¿Por qué no me mira las tetas?",1,0,0,0,0
Veo un Madrid como el de costumbre: Puerco y maricón.,1,0,0,0,0
"@notasingleducks y para que nunca se te olvide, 10 champions, reyes de europa, sigue mandando fotos de tu pito, pinche joto.",1,0,0,0,0
Órale no que muchos huevos cabron. Salió bien puñal este guey url,1,0,0,0,0
¿Cómo qué hay mujeres trans lesbianas? ¿Para que se hizo trans si va a ser lesbiana? No tiene lógica.,0,1,0,1,0
"@elpadrejesus_ No entiendo x que si dios hizo hombre mujer, ahora dan tanta publicidad a lod gays es un mal ejemplo a los ninos se me hace una degeneracion el que nace asi se acepta, pero ahora todos son que triste",1,0,0,0,0
"@EPN   En Rusia va a ver Infiltración Homosexual mujer con mujer, violaran a las monjas, enseñando a los niños y jóvenes a tomar armas.",0,1,0,0,0
#EsTiempoDe que ya mandes un mensaje al grupo mariquita @MauHCorona,1,0,0,0,0
Como que últimamente ando muy intolerante a la mirada lasciva de los pinches jotos #ARomperHocicos,1,0,0,0,0
"Ya no le puedes decir negro a un negro. 

Con el debido respeto y porque me caen a toda madre los homosexuales o putos cómo les llamamos.

Los negros de hoy en día son más putos que los putos.

Chinguen a su madre!!!",1,0,0,0,0
"@AgentNa1 @BaksLive @OsNoCa @SimnTolomeo2 @DonPorfifirio Ay si, ¿Cómo ven? Che llorón bolonero, jamás ando pidiendo chichi, maricón.",1,0,0,0,0
"Si vas directo al grano se ofenden, si es conversación normal te url nada les parece (y por la forma en responder es una travesti loca) 🤔 url",0,0,0,1,0
Esto se va a descontroooolooooooooooooolaaaaaaaaaaaar @aaronramsey  llévate al joto de Mario Bautista plis,1,0,0,0,0
@m_ebrard @GobiernoMX Todos los que conforman la ONU son putos jotos y url,1,0,0,0,0
"A donde vas a estas horas, hijo? —Al table mamá. —¡A mi no me haces pendeja! ¡VAS AL CONCIERTO DE JUSTIN BIEBER, MARICÓN!",1,0,0,0,0
@alfonsineb @Mauriziosann @josealemano @Oscar_Dorantes @Jeglemqz @pablorubenv @kapeyo @linea_caliente Pero ponchito para ser politicus primero evita la parranda y el baile gay  ok es mala url url,1,0,0,0,0
@REFORMACOM maricon de mierda!!! @EPN,1,0,0,0,0
Un joto mas feo que otro,1,0,0,0,0
"—¿Alguna pregunta?
—Profe ¿Si un transexual protagoniza un video viral, es Lord o Lady? 
—De la clase, pendejo. 
—Ah no, ninguna.",0,0,0,1,0
"Vas al GYM. haces pesas, Sientes que tus brazos son los de @TheRock vez al espejo y un pendejo tomándose fotos pal' feis #selfie  #maricas",1,0,0,0,0
Maricon de mierda,1,0,0,0,0
Cuando tenga una obra contrataré albañiles negras lesbianas porque #EquidadDeGenero e #Incluyente. 👌🏾,0,1,0,0,0
@CarlosLoret par de maricones,1,0,0,0,0
@EvySoto Sí la costeña tiene chile es #transgenero jajajajjajjaaja,0,0,0,1,0
Mariquita url,1,0,0,0,0
@soy_Vsantillan No chille jota,1,0,0,0,0
Me enamoré de una url 🎶❤,0,0,0,0,1
@iamfernandabec Oi nomas! En mariquita escandalosa,1,0,0,0,0
¿Qué onda con las amigas de mi hermana que tienen 13 años y dicen que son bisexuales? O seaaaa,0,0,1,0,0
"Ya no conozco a nadie en el pueblo, para salir, solo mi mejor amigo y el marica ya sé fue a dormir!!! Eso me obliga a beber solo 😥",1,0,0,0,0
