fragmento,genero,emocion
"Se burlarán de mí, que nadie sepa mi sufrir",Cumbia,N
Aroma!!,Cumbia,S
Se que tu sales con ella,Cumbia,N
"Mejor no me mientas, por Dios",Cumbia,N
Tienes una doble vida,Cumbia,N
"La ves a escondidas, o no",Cumbia,N
"No le mientas, decir que soy tu amiga",Cumbia,N
Es otra mas de tus mentiras,Cumbia,N
No tienes corazon,Cumbia,N
"Amor de tres, es una mala relacion",Cumbia,N
(Yo no sali jamas con ella),Cumbia,S
"Ni ella ni yo, esta no te perdonamos",Cumbia,N
(Por favor entiendelo),Cumbia,N
"Amor de tres, no sirve para el corazon",Cumbia,N
(Yo solamente fui su amigo),Cumbia,S
"Vete de aqui, que solas mejor que a tu lado",Cumbia,N
Tienes que cuidarte de las malas lenguas,Cumbia,P
Te llenan la cabeza comentando mal de mi,Cumbia,N
"Me dijo estaba triste, la escuche, no hubo otra cosa",Cumbia,N
Quiero que te borres esa idea peligrosa,Cumbia,N
"Mejor no digas palabras, te vas de mi lado, te vas",Cumbia,N
Ella no tiene la culpa cayo en tus engaños igual,Cumbia,N
Si pensaste salir con dos mujeres,Cumbia,N
Que te llenen de placeres,Cumbia,P
Se equivoco tu corazon,Cumbia,N
"Amor de tres, es una mala relacion",Cumbia,N
(Yo no sali jamas con ella),Cumbia,N
"Ni ella ni yo, esta no te perdonamos",Cumbia,N
(Por favor entiendelo),Cumbia,N
"Amor de tres, no sirve para el corazon",Cumbia,N
(Yo solamente fui su amigo),Cumbia,S
"Vete de aqui, que sola es mejor que a tu lado",Cumbia,N
(Tienes que entendermelo),Cumbia,S
"Amor de tres, es una mala relacion",Cumbia,N
(Si tu me dejas yo me muero),Cumbia,N
"Ni ella ni yo, esta no te perdonamos",Cumbia,N
(No me quites este amor),Cumbia,N
"Amor de tres, no sirve para el corazon",Cumbia,N
(Lo que te cuentan son mentiras),Cumbia,N
"Vete de aqui, que sola es mejor que a tu lado",Cumbia,N
(Amor te vas a arrepentir),Cumbia,N
No llores a ese hombre por favor,Cumbia,N
No puedo olvidarlo,Cumbia,N
"Es un mentiroso, un seductor",Cumbia,N
Te juro que lo extraño,Cumbia,N
El te engaño lo se,Cumbia,N
"No vuelvas mas, ayúdame",Cumbia,N
Si te mando flores,Cumbia,P
Cuidado,Cumbia,N
Ese querido ladrón,Cumbia,N
Que nos roba el corazón,Cumbia,N
Es un profesional,Cumbia,S
Que vive del engaño,Cumbia,N
Ese querido ladrón,Cumbia,N
Que sabe de la ocasión,Cumbia,S
Su fama de don Juan,Cumbia,P
Acabara llorando,Cumbia,N
Nadie como el me enamoro,Cumbia,P
Es un especialista,Cumbia,P
Me escribía cartas de amor,Cumbia,P
Su trampa favorita,Cumbia,N
El me amo (mintió),Cumbia,N
Me dio su piel (infiel),Cumbia,N
Es tan hábil con las mentiras,Cumbia,N
Ese querido ladrón,Cumbia,N
Que nos robo el corazón,Cumbia,N
Es un profesional,Cumbia,P
Que vive del engaño,Cumbia,N
Ese querido ladrón,Cumbia,N
Que sabe de la ocasión,Cumbia,S
Su fama de don Juan,Cumbia,P
Acabara llorando,Cumbia,N
Ese querido ladrón,Cumbia,N
Que sabe de la ocasión,Cumbia,S
Su fama de don Juan,Cumbia,P
Acabara llorando,Cumbia,N
Qué locura quererte como te estoy queriendo,Cumbia,P
"Que parece mentira, pero no me arrepiento",Cumbia,P
"Tú me vuelves tan loco, y lo peor, soy consciente",Cumbia,N
He caído en tu trampa como el más inocente,Cumbia,N
"Me enamoré de ti, y qué?",Cumbia,P
"Me enloqueció tu piel, y qué?",Cumbia,P
Me arrodillé a tu amor imposible,Cumbia,N
"Me enamoré de ti, y qué?",Cumbia,P
"Yo me enfermé de amor, y qué?",Cumbia,N
"Ciego por ti, pido que no me olvides",Cumbia,N
Qué locura quererte como te estoy queriendo,Cumbia,P
"Y si soy tu capricho, no me importa saberlo",Cumbia,N
"Te has metido en mi vida, me consume el aire",Cumbia,S
"Corazón peligroso, no me importa quemarme",Cumbia,N
"Me enamoré de ti, y ¿What?",Cumbia,P
"Me enloqueció tu piel, y qué?",Cumbia,P
Me arrodillé a tu amor imposible,Cumbia,N
"Me enamoré de ti, y qué?",Cumbia,P
"Yo me enfermé de amor, y qué?",Cumbia,N
"Ciego por ti, pido que no me olvides",Cumbia,N
Estamos en lugar prohibido,Cumbia,N
En busca de experimentar,Cumbia,P
Donde se hace el pecado del amor,Cumbia,P
Y el tiempo nos hace esperar,Cumbia,N
"Te miro, y me miras amor",Cumbia,P
Te pregunto en qué piensas,Cumbia,S
Y me dices en ti y en mi,Cumbia,P
Veo que te sueltas el pelo,Cumbia,S
Mirándote al espejo,Cumbia,S
Mirándote a los ojos,Cumbia,S
Una mirada entregada en un tiempo,Cumbia,S
Sin tiempo y un semblante hermoso,Cumbia,P
"Y me dices, he pensado mucho en ti",Cumbia,S
Te he soñado tanto aquí,Cumbia,P
Que no imaginé,Cumbia,N
Que iba a ser así la entrega de mi amor,Cumbia,P
Hacia ti,Cumbia,S
Estamos en lugar prohibido,Cumbia,N
En busca de Donde experimentar,Cumbia,P
se hace el pecado del amor,Cumbia,P
Y el tiempo nos hace esperar,Cumbia,N
"Te miro, y me miras amor",Cumbia,P
Te pregunto en que piensas,Cumbia,S
Y me dices en ti y en mi,Cumbia,P
Veo que te sueltas el pelo,Cumbia,S
Mirándote al espejo,Cumbia,S
Mirándote a los ojos,Cumbia,S
Una mirada entregada en un tiempo,Cumbia,S
Sin tiempo y un semblante hermoso,Cumbia,P
"Y me dices, he pensé mucho en ti",Cumbia,P
Te he soñado tanto aquí,Cumbia,P
Que no imaginé,Cumbia,S
Que iba a ser así la entrega de mi amor,Cumbia,P
Hacia ti,Cumbia,S
Que mi novia si sabe,Cumbia,S
Como se baila la cumbia,Cumbia,P
Y al sonar los tambores,Cumbia,S
Si no la invito me invita ella,Cumbia,P
Y como enamorado,Cumbia,P
Yo la voy apretando,Cumbia,P
Me voy acomodando,Cumbia,P
Para bailar todo el tiempo así,Cumbia,P
Ella que es bailadora,Cumbia,P
Ay de la cumbia señora,Cumbia,S
Me dice que me adora,Cumbia,P
Pero apretao no se baila cumbia,Cumbia,N
Se me suelta y se aparta,Cumbia,N
Se agarra su pollera,Cumbia,S
Y al menear sus caderas,Cumbia,S
"Sonando altanera me dice baila, baila",Cumbia,P
Báilame la suavecita,Cumbia,P
"Mirame, sigueme, acósame",Cumbia,P
Que la cumbia sabrosita,Cumbia,S
Si la bailas sueltecita y abriendo los brazos,Cumbia,S
Báilame la suavecita,Cumbia,S
"Mirame, sigueme, acósame",Cumbia,P
Que la cumbia sabrosita,Cumbia,S
Si la bailas sueltecita y abriendo los brazos,Cumbia,P
Que mi novia si sabe,Cumbia,S
Como se baila la cumbia,Cumbia,P
Y al sonar los tambores,Cumbia,S
Si no la invito me invita ella,Cumbia,P
Y como enamorado,Cumbia,P
Yo la voy apretando,Cumbia,P
Me voy acomodando,Cumbia,P
Para bailar todo el tiempo así,Cumbia,P
Ella que es bailadora,Cumbia,P
Ay de la cumbia señora,Cumbia,S
Me dice que me adora,Cumbia,P
Pero apretao no se baila cumbia,Cumbia,N
Se me suelta y se aparta,Cumbia,N
Se agarra su pollera,Cumbia,S
Y al menear sus caderas,Cumbia,S
"Sonando altanera me dice baila, baila",Cumbia,P
Báilame la suavecita,Cumbia,S
"Mirame, sigueme, acósame",Cumbia,P
Que la cumbia sabrosita,Cumbia,S
Si la bailas sueltecita y abriendo los brazos,Cumbia,P
Báilame la suavecita,Cumbia,S
"Mirame, sigueme, acósame",Cumbia,P
Que la cumbia sabrosita,Cumbia,S
Si la bailas sueltecita y abriendo los brazos,Cumbia,P
"Pedacito de mi vida, te quiero tanto",Cumbia,P
"Pedacito de mi vida, ay, amor",Cumbia,P
"Pedacito de mi vida, te quiero tanto",Cumbia,P
"Pedacito de mi vida, ay, amor",Cumbia,P
Qué linda es vivir la vida así,Cumbia,P
Tenerte cerca de mí,Cumbia,P
Y amarte con frenesí,Cumbia,P
Mis ojos son para quererte,Cumbia,P
Son para adorarte una eternidad,Cumbia,P
Mis ojos son para quererte,Cumbia,P
Son para adorarte una eternidad,Cumbia,P
"Pedacito de mi vida, te quiero tanto",Cumbia,P
"Pedacito de mi vida, ay, amor",Cumbia,P
"Pedacito de mi vida, te quiero tanto",Cumbia,P
"Pedacito de mi vida, ay, amor",Cumbia,P
"Pedacito de mi vida, te quiero tanto",Cumbia,P
"Pedacito de mi vida, ay, amor",Cumbia,P
"Pedacito de mi vida, te quiero tanto",Cumbia,P
"Pedacito de mi vida, ay, amor",Cumbia,P
Qué linda es vivir la vida así,Cumbia,P
Tenerte cerca de mí,Cumbia,P
Y amarte con frenesí,Cumbia,P
Mis ojos son para quererte,Cumbia,P
Son para adorarte una eternidad,Cumbia,P
Mis ojos son para quererte,Cumbia,P
Son para adorarte una eternidad,Cumbia,P
"Pedacito de mi vida, te quiero tanto",Cumbia,P
"Pedacito de mi vida, ay, amor",Cumbia,P
"Pedacito de mi vida, te quiero tanto",Cumbia,P
"Pedacito de mi vida, ay, amor",Cumbia,P
Me contaron de Romeo y Julieta y pensé,Regional Mexicano,P
"""Qué hermoso cuento""",Regional Mexicano,P
"Y ahora resulta que es más grande, que es más bello esto",Regional Mexicano,P
Esto que por ti yo siento...,Regional Mexicano,P
"Cruzaré los montes, los ríos, los valles por irte a encontrar",Regional Mexicano,P
"Salvaría tormentas, ciclones, dragones, sin exagerar",Regional Mexicano,P
Por poder mirarme en tus ojos bonitos,Regional Mexicano,P
Y vivir la gloria de estar a tu lado,Regional Mexicano,P
"Porque en mí ya siento que te necesito, que me he enamorado",Regional Mexicano,P
Por poder mirarme en tus ojos bonitos,Regional Mexicano,P
Y vivir la gloria de estar a tu lado,Regional Mexicano,P
Porque en mí ya siento que te necesito,Regional Mexicano,P
Eso y mas haré,Regional Mexicano,P
Por asegurar la sonrisa de tu alma buscando equidad,Regional Mexicano,P
"Yo podría empeñar lo más caro que tengo, que es mi libertad",Regional Mexicano,P
"Y sería un honor, ay amor, ser tu esclavo",Regional Mexicano,P
Sería tu juguete por mi voluntad,Regional Mexicano,P
Y si un día glorioso en tus brazos acabo,Regional Mexicano,P
Qué felicidad,Regional Mexicano,P
"Sí, sería un honor, ay amor, ser tu esclavo",Regional Mexicano,P
Sería tu juguete por mi voluntad,Regional Mexicano,P
Y si un día glorioso en tus brazos acabo,Regional Mexicano,P
Qué felicidad,Regional Mexicano,P
Cada vez que estoy contigo,Regional Mexicano,P
"Se me nubla la cabeza, estoy ansioso",Regional Mexicano,N
De tenerte toda entera,Regional Mexicano,P
Ese brillo de tu mirada,Regional Mexicano,P
Me sacude la tristeza,Regional Mexicano,N
"Eres hermosa, mas por dentro que por fuera",Regional Mexicano,P
Te quiero pedir una cosa,Regional Mexicano,N
Deseo que seas mi esposa,Regional Mexicano,P
Porque te amo,Regional Mexicano,P
Mas alla de todo,Regional Mexicano,S
De uno y de todos los modos,Regional Mexicano,S
Y te respiro,Regional Mexicano,P
En cada uno de mis poros,Regional Mexicano,S
Porque te amo,Regional Mexicano,P
De uno y de todos los modos,Regional Mexicano,S
"Bendito dios, por darme el privilegio de compartir contigo",Regional Mexicano,P
"Un nuevo amanecer, alegre, desierto",Regional Mexicano,P
"A veces lluvioso, pero sabes no importa",Regional Mexicano,P
"Porque te amo, de uno y de todos los modos",Regional Mexicano,P
Cada dia que amanece,Regional Mexicano,S
De rodillas pido a dios,Regional Mexicano,N
Que tu me quieras,Regional Mexicano,P
mas por dentro que por fuera,Regional Mexicano,S
Te quiero pedir una cosa,Regional Mexicano,S
Deseo que seas mi esposa,Regional Mexicano,P
Porque te amo,Regional Mexicano,P
Mas de alla de todo,Regional Mexicano,S
De uno y de todos los modos,Regional Mexicano,S
Y te respiro,Regional Mexicano,P
En cada uno de mis poros,Regional Mexicano,S
Porque te amo,Regional Mexicano,P
De uno y de todos los modos,Regional Mexicano,S
Porque te amo,Regional Mexicano,P
De uno y de todos los modos,Regional Mexicano,S
"Cariño, necesito decirte",Regional Mexicano,P
Que mi mundo es muy triste,Regional Mexicano,N
"Desde que te he perdido, amor",Regional Mexicano,N
Ya no sé vivir,Regional Mexicano,N
"Que extraño tu mirar, tu sonrisa",Regional Mexicano,N
Y todas esas caricias,Regional Mexicano,N
"Que le diste a mi alma, amor",Regional Mexicano,P
Con el corazón,Regional Mexicano,S
Necesito decirte,Regional Mexicano,S
Que no voy a olvidarte,Regional Mexicano,N
Aunque te fuiste,Regional Mexicano,N
Porque sólo soy de ti y para ti,Regional Mexicano,P
Necesito decirte,Regional Mexicano,S
Que te estaré esperando por si existe,Regional Mexicano,N
Una posibilidad de volver,Regional Mexicano,N
Ya sabes donde estoy,Regional Mexicano,S
Me diste un adiós que me duele,Regional Mexicano,N
No hay nada que me consuele,Regional Mexicano,N
Te llevaste contigo amor,Regional Mexicano,N
Mi felicidad,Regional Mexicano,P
Necesito decirte,Regional Mexicano,S
Que no voy a olvidarte,Regional Mexicano,N
aunque te fuiste,Regional Mexicano,N
Porque solo soy de ti y para ti,Regional Mexicano,S
Necesito decirte,Regional Mexicano,S
Que te estaré esperando por si existe,Regional Mexicano,N
Una posibilidad de volver,Regional Mexicano,N
Ya sabes donde estoy,Regional Mexicano,S
"Oh si, mi amor",Regional Mexicano,P
Aquí te esperaré,Regional Mexicano,N
"Oh si, mi amor",Regional Mexicano,P
Si pudieras regresar conmigo,Regional Mexicano,N
"Ven, no tardes yo te amo",Regional Mexicano,P
"No te olvido, ven",Regional Mexicano,N
"Oh si, mi amor",Regional Mexicano,P
Aquí te esperaré,Regional Mexicano,N
Aquí te esperaré,Regional Mexicano,N
Se que no soy el príncipe que soñaste,Regional Mexicano,N
Y en mi hay un altar que es para ti,Regional Mexicano,N
Te invito a moldear lo que anhelaste,Regional Mexicano,N
Hazme a tu modo que para ti nací,Regional Mexicano,P
Diséñame que quiero ser todo lo que te guste,Regional Mexicano,P
Diséñame que yo autorizare cualquier ajuste,Regional Mexicano,P
"Quítame o ponme lo que quieras, te doy mi esencia y mi verdad",Regional Mexicano,P
Para que saldes tus quimeras Y tu felicidad,Regional Mexicano,P
Diséñame los besos que se llene el pasaporte,Regional Mexicano,P
Para llegar al mundo donde yo quiero llevarte,Regional Mexicano,P
"Acórtame o alárgame las alas, anida y vuela siempre junto a mí",Regional Mexicano,P
"Que yo no necesito más bengalas, si tu luz va junto a mí",Regional Mexicano,P
Diséñame muy a tu antojo a tu capricho,Regional Mexicano,P
"Ponme en mi voz, él te amo que gamas nadie te ha dicho",Regional Mexicano,P
"Acórtame o alárgame las alas, respeta solamente al corazón",Regional Mexicano,P
"Que hay ya hay un altar donde tu vives, donde nace mi canción",Regional Mexicano,P
Diséñame,Regional Mexicano,S
Será fe que yo encontré una voz de ternura,Regional Mexicano,P
Que me llena de placer cuando la oigo hablar,Regional Mexicano,P
Con ella me enamoré aunque nunca la conocí,Regional Mexicano,N
Sueño en su querer y en sus brazos quiero dormir,Regional Mexicano,P
Escucho cada día la radio,Regional Mexicano,S
Seguro que la vuelvo a oír,Regional Mexicano,S
Por el cielo busco mi estrella,Regional Mexicano,S
A la luna quiero subir,Regional Mexicano,S
Voy desvelado,Regional Mexicano,N
Por estas calles esperando encontrar,Regional Mexicano,S
A esa voz de ángel que quiero amar,Regional Mexicano,P
¿Dónde andará?,Regional Mexicano,S
Voy desvelado,Regional Mexicano,N
Y mi deseo no me deja descansar,Regional Mexicano,N
Porque despierto y no me pongo a llorar,Regional Mexicano,P
Yo seguiré desvelado y sin amor,Regional Mexicano,N
Será fe que yo encontré una voz de ternura,Regional Mexicano,P
Que me llena de placer cuando la oigo hablar,Regional Mexicano,P
Con ella me enamoré aunque nunca la conocí,Regional Mexicano,N
Sueño en su querer y en sus brazos quiero dormir,Regional Mexicano,N
Escucho cada día la radio,Regional Mexicano,S
Seguro que la vuelvo a oir,Regional Mexicano,S
Por el cielo busco mi estrella,Regional Mexicano,S
A la luna quiero subir,Regional Mexicano,S
Voy desvelado,Regional Mexicano,N
Por estas calles esperando encontrar,Regional Mexicano,S
A esa voz de ángel que quiero amar,Regional Mexicano,P
¿Dónde andará?,Regional Mexicano,S
Voy desvelado,Regional Mexicano,N
Y mi deseo no me deja descansar,Regional Mexicano,N
Porque despierto y no me pongo a llorar,Regional Mexicano,P
Yo seguiré desvelado y sin amor,Regional Mexicano,N
Que no debo tener más de un amor,Regional Mexicano,S
Dice la gente que es delito y es pecado,Regional Mexicano,N
Quiero que sepan que están en un error,Regional Mexicano,P
"Pues no es mi amante ni mi amor, es algo más",Regional Mexicano,P
Que no debo tener más de un amor,Regional Mexicano,P
Dicen que soy un candidato del infierno,Regional Mexicano,N
Que lo decida Dios que fue quién permitió,Regional Mexicano,S
Esto que siento aquí en el alma y nadie más,Regional Mexicano,S
"Ella es mi cómplice, la socia de mis sueños",Regional Mexicano,P
Mi primer suspiro al despertar,Regional Mexicano,P
"Ella es mi cómplice, la hoguera de mis leños",Regional Mexicano,P
Lo de ella y yo es más que amar,Regional Mexicano,P
Que no debo tener más de un amor,Regional Mexicano,P
Dice la gente que es delito y es pecado,Regional Mexicano,P
Quiero que sepan que están en un error,Regional Mexicano,P
"Pues no es mi amante ni mi amor, es algo más",Regional Mexicano,P
Que no debo tener más de un amor,Regional Mexicano,P
Dicen que soy un candidato del infierno,Regional Mexicano,N
Que lo decida Dios que fue quién permitió,Regional Mexicano,P
Esto que siento aquí en el alma y nadie más,Regional Mexicano,S
"Ella es mi cómplice, la socia de mis sueños",Regional Mexicano,P
Mi primer suspiro al despertar,Regional Mexicano,P
"Ella es mi cómplice, la hoguera de mis leños",Regional Mexicano,P
Lo de ella y yo es más que amar,Regional Mexicano,P
Qué caro estoy pagando,Regional Mexicano,N
El haber traicionado,Regional Mexicano,N
El amor que me daba por una locura,Regional Mexicano,N
Que estúpido fui,Regional Mexicano,N
Ella fue una aventura,Regional Mexicano,N
Tan solo un pasatiempo,Regional Mexicano,S
Con arrepentimientos sinceros hoy vengo,Regional Mexicano,N
A pedirte perdón,Regional Mexicano,P
"De rodillas te pido, te ruego, te digo",Regional Mexicano,N
"Que regreses conmigo, que no te he olvidado",Regional Mexicano,N
"Que te extrañan mis manos, que muero de ganas",Regional Mexicano,N
Por volverte a besar,Regional Mexicano,P
En las noches despierto gritando tu nombre,Regional Mexicano,N
Y me lleno de miedo al pensar que a otro hombre,Regional Mexicano,N
"Le estarás entregando tus besos, tu cuerpo",Regional Mexicano,N
No quiero ni pensar,Regional Mexicano,S
De rodillas te pido,Regional Mexicano,S
Ella fue una aventura,Regional Mexicano,S
Tan solo un pasatiempo,Regional Mexicano,S
Con arrepentimientos sinceros hoy vengo,Regional Mexicano,N
A pedirte perdón,Regional Mexicano,P
"De rodillas te pido, te ruego, te digo",Regional Mexicano,N
"Que regreses conmigo, que no te he olvidado",Regional Mexicano,N
"Que te extrañan mis manos, que muero de ganas",Regional Mexicano,N
Por volverte a besar,Regional Mexicano,P
En las noches despierto gritando tu nombre,Regional Mexicano,N
Y me lleno de miedo al pensar que a otro hombre,Regional Mexicano,N
"Le estarás entregando tus besos, tu cuerpo",Regional Mexicano,N
No quiero ni pensar,Regional Mexicano,S
De rodillas te pido,Regional Mexicano,S
"Duele el silencio, duele el adiós",Regional Mexicano,N
No sé cómo aceptar que se marchó,Regional Mexicano,N
Se fue llorando y en mi corazón,Regional Mexicano,N
Quería pedirle a gritos su perdón,Regional Mexicano,N
No supe cómo le hice mal,Regional Mexicano,N
"Si ella era todo, sí, y mucho más",Regional Mexicano,S
"Actos de un tonto, de un tonto que fui",Regional Mexicano,N
Tenía lo más hermoso y lo perdí,Regional Mexicano,N
"Hoy la extraño tanto, tanto",Regional Mexicano,N
Mas ya nada puedo hacer,Regional Mexicano,N
Sé que ya le hice daño a mi amor,Regional Mexicano,N
Que se ha ido para nunca más volver,Regional Mexicano,N
No supe cómo le hice mal,Regional Mexicano,N
"Si ella era todo, sí , y mucho más",Regional Mexicano,S
"Actos de un tonto, de un tonto que fui",Regional Mexicano,N
Tenía lo más hermoso y lo perdí,Regional Mexicano,N
"Hoy la extraña tanto, tanto",Regional Mexicano,N
Mas ya nada puedo hacer,Regional Mexicano,N
Sé que ya le hice daño a mi amor,Regional Mexicano,N
Que se ha ido para nunca mas volver,Regional Mexicano,N
Que se ha ido para nunca mas volver,Regional Mexicano,N
Me dices que te vas porque ya no soportas tu amarga soledad,Regional Mexicano,N
Que ya no soy romántico como cuando te empecé a conquistar,Regional Mexicano,N
Que me olvidé de los pequeños detalles que te hacían vibrar,Regional Mexicano,N
Que me rodea una armadura de acero difícil de penetrar,Regional Mexicano,N
"Sé que es verdad todo lo que estás diciendo, no lo puedo negar",Regional Mexicano,N
Y me lastima en lo profundo del alma que quieres terminar,Regional Mexicano,N
Mi mente loca al sentirte segura no supo valorar,Regional Mexicano,N
"Todo el amor que tú me dabas, me arrepiento, creo que voy a llorar",Regional Mexicano,N
Y la verdad es que no soy tan fuerte como lo esperaba,Regional Mexicano,N
"Mi voz se quiebra, estoy temblando de miedo, pues sin ti no soy nada",Regional Mexicano,N
"Sí tú te vas a quedaré muerto en vida, mi mundo se acabará",Regional Mexicano,N
"Será imposible para mí existir sin tu amor, sin tu cara",Regional Mexicano,N
Y arrepentido de todos mis errores te suplico por favor,Regional Mexicano,N
Que no me odies y que no me abandones porque fuerte no soy,Regional Mexicano,N
Y la verdad es que no soy tan fuerte como lo esperaba,Regional Mexicano,N
"Mi voz se quiebra, estoy temblando de miedo, pues sin ti no soy nada",Regional Mexicano,N
"Sí tú te vas a quedaré muerto en vida, mi mundo se acabará",Regional Mexicano,N
"Será imposible para mí existir sin tu amor, sin tu cara",Regional Mexicano,N
Y arrepentido de todos mis errores te suplico por favor,Regional Mexicano,N
Que no me odies y que no me abandones porque fuerte no soy,Regional Mexicano,N
Que no me odies y que no me abandones porque fuerte no soy,Regional Mexicano,N
En vez de ponerte a pensar en él,Regional Mexicano,N
En vez de que vivas llorando por él,Regional Mexicano,N
En vez de ponerte a pensar en él,Regional Mexicano,N
En vez de que vivas llorando por él,Regional Mexicano,N
"Piensa en mí, llora por mí",Regional Mexicano,N
"Llámame a mí, no no le hables a él",Regional Mexicano,N
"Piensa en mí, llora por mí",Regional Mexicano,N
"Llámame a mí, no no le hables a él",Regional Mexicano,S
"A él, no llores por él",Regional Mexicano,N
Recuerda que hace mucho tiempo te amo,Regional Mexicano,P
"Te amo, te amo",Regional Mexicano,P
Quiero hacerte muy muy feliz,Regional Mexicano,P
Vamos a tomar el primer avión,Regional Mexicano,S
Con destino a la felicidad,Regional Mexicano,P
La felicidad,Regional Mexicano,P
Para mí eres tú,Regional Mexicano,S
"Piensa en mí, llora por mí",Regional Mexicano,P
"Llámame a mí, no no le hables a él",Regional Mexicano,P
"Piensa en mí, llora por mí",Regional Mexicano,P
"Llámame a mí, no no le hables a él",Regional Mexicano,P
"A él, no llores por él",Regional Mexicano,P
Recuerda que hace mucho tiempo te amo,Regional Mexicano,P
"Te amo, te amo",Regional Mexicano,P
Quiero hacerte muy muy feliz,Regional Mexicano,P
Vamos a tomar el primer avión,Regional Mexicano,P
Con destino a la felicidad,Regional Mexicano,P
La felicidad,Regional Mexicano,P
Para mí eres tú,Regional Mexicano,S
"Piensa en mí, llora por mí",Regional Mexicano,P
"Llámame a mí, no no le hables a él",Regional Mexicano,P
"Piensa en mí, llora por mí",Regional Mexicano,P
"Llámame a mí, no no le hables a él",Regional Mexicano,P
"A él, no llores por él",Regional Mexicano,P
"Piensa en mí, llora por mí",Regional Mexicano,P
"Llámame a mí, no no le hables a él",Regional Mexicano,P
"Piensa en mí, llora por mí",Regional Mexicano,P
"Llámame a mí, no no le hables a él",Regional Mexicano,P
"A él, no llores por él",Regional Mexicano,P
Era feliz en su matrimonio,Regional Mexicano,P
Aunque su marido era el mismo demonio,Regional Mexicano,N
Tenia el hombre un poco de mal genio,Regional Mexicano,N
Y ella se quejaba de que nunca fue tierno,Regional Mexicano,N
Desde hace ya mas de tres años recibe cartas de un extraño,Regional Mexicano,N
Cartas llenas de poesía que le han devuelto la alegría,Regional Mexicano,P
"¿Quién te escribía versos?, ¿Dime niña, quién era?",Regional Mexicano,S
¿Quién te manda flores en primavera?,Regional Mexicano,S
Con amor las recibidas como siempre sin tarjeta,Regional Mexicano,S
Te mandaba a ti un ramito de violetas,Regional Mexicano,S
A veces sueña a veces se imagina,Regional Mexicano,S
Cómo sera aquel que a ella tanto la estima,Regional Mexicano,P
Será mas bien hombre de pelo cano,Regional Mexicano,S
"Sonrisa abierta, y de ternura en sus manos",Regional Mexicano,P
¿Quién será quien sufra en silencio?,Regional Mexicano,N
¿Quien puede ser su amor secreto?,Regional Mexicano,N
Ella que no sabe nada mira a su marido y luego se calla,Regional Mexicano,N
"¿Quién te escribía versos?, ¿Dime niña, quién era?",Regional Mexicano,S
¿Quién te manda flores en primavera?,Regional Mexicano,S
Con amor las recibidas como siempre sin tarjeta,Regional Mexicano,S
Te mandaba a ti un ramito de violetas,Regional Mexicano,P
Cada tarde al volver su esposo,Regional Mexicano,S
Cansado del trabajo va y la mira de reojo,Regional Mexicano,N
No dice nada porque el lo sabe todo,Regional Mexicano,N
Ella es feliz así de cualquier modo,Regional Mexicano,P
Porque él es quien le escribe versos,Regional Mexicano,S
"El es su amante, su amor secreto",Regional Mexicano,N
Ella que no sabe nada mira a su marido y luego se calla,Regional Mexicano,N
"¿Quién te escribía versos?, ¿Dime niña, quién era?",Regional Mexicano,S
¿Quién te manda flores en primavera?,Regional Mexicano,S
Con amor las recibidas como siempre sin tarjeta,Regional Mexicano,S
Te mandaba a ti un ramito de violetas,Regional Mexicano,P
Dicen que yo fui su amante y que la adore,Regional Mexicano,P
Que le suplique que no se fuera de mi lado,Regional Mexicano,N
Y que le mandaba rosas de vez en vez,Regional Mexicano,P
Y que lamenta mucho usted haberme dejado,Regional Mexicano,N
Me va a disculpar señora pero no me acuerdo,Regional Mexicano,S
Disculpeme el atrevimiento pero nada siento,Regional Mexicano,N
Quien es usted,Regional Mexicano,S
De donde ha salido,Regional Mexicano,S
Yo no soy aquel,Regional Mexicano,S
Al que jura haber herido,Regional Mexicano,N
"Quien es usted, yo no la recuerdo",Regional Mexicano,N
Sera que su traicion,Regional Mexicano,N
Le clausuro ya la memoria,Regional Mexicano,N
Al corazon,Regional Mexicano,S
Dicen que sus besos fueron mi debilidad,Regional Mexicano,P
Y que caminamos juantos de la mano,Regional Mexicano,P
Me va a discupar usted señora,Regional Mexicano,S
Pero no me acuerdo,Regional Mexicano,S
Disculpe el atrevimiento,Regional Mexicano,S
Pero nada siento,Regional Mexicano,N
Quien es usted,Regional Mexicano,S
De donde ha salido,Regional Mexicano,S
Yo no soy aquel,Regional Mexicano,S
Al que jura haber herido,Regional Mexicano,N
"Quien es usted, yo no la recuerdo",Regional Mexicano,S
Sera que su traicion,Regional Mexicano,N
Le clausuro ya la memoria,Regional Mexicano,N
Al corazon,Regional Mexicano,S
Quien es usted,Regional Mexicano,S
De donde ha salido,Regional Mexicano,S
Yo no soy aquel,Regional Mexicano,S
Al que jura haber herido,Regional Mexicano,N
"Quien es usted, yo no la recuerdo",Regional Mexicano,N
Sera que su traicion,Regional Mexicano,N
Le clausuro ya la memoria,Regional Mexicano,N
Al corazon,Regional Mexicano,S
Quien es usted,Regional Mexicano,S
Que solo estoy aquí,Regional Mexicano,N
Y me hace tanto daño,Regional Mexicano,N
Es duro soportarlo,Regional Mexicano,N
Que difícil es vivir sin ti,Regional Mexicano,N
En la penumbra de mi habitación,Regional Mexicano,N
Donde tantas veces hicimos el amor,Regional Mexicano,P
Está sufriendo mi corazón,Regional Mexicano,N
Está sufriendo por tu traición,Regional Mexicano,N
